THRM,Gentherm Inc,NASDAQ,$1.39B,$4055.94,Capital Goods
NSH,"Nustar GP Holdings, LLC",NYSE,$1.03B,$8887.47,Energy
CECO,Career Education Corporation,NASDAQ,$677.17M,$8448.78,Consumer Services
AVT,"Avnet, Inc.",NYSE,$4.82B,$8312.66,Consumer Non-Durables
PENN,"Penn National Gaming, Inc.",NASDAQ,$1.95B,$6131.11,Consumer Services
PRTA,Prothena Corporation plc,NASDAQ,$2B,$8721.31,Health Care
EGHT,8x8 Inc,NASDAQ,$1.35B,$7019.44,Public Utilities
USM,United States Cellular Corporation,NYSE,$3.3B,$6458.19,Public Utilities
DLNG^A,Dynagas LNG Partners LP,NYSE,n/a,$7369.01,n/a
IIM,Invesco Value Municipal Income Trust,NYSE,$713.38M,$7581.40,n/a
PL^C,Protective Life Corporation,NYSE,n/a,$6786.01,n/a
FCA,First Trust China AlphaDEX Fund,NASDAQ,$4.63M,$7534.62,n/a
PER,SandRidge Permian Trust,NYSE,$150.94M,$9525.32,Energy
RESN,Resonant Inc.,NASDAQ,$57.73M,$4897.85,Technology
ESES,"Eco-Stim Energy Solutions, Inc.",NASDAQ,$18.78M,$9894.61,Energy
CFA,VictoryShares US 500 Volatility Wtd ETF,NASDAQ,$8.83M,$8159.86,n/a
FEO,First Trust/Aberdeen Emerging Opportunity Fund,NYSE,$84.47M,$8553.86,n/a
RBPAA,"Royal Bancshares of Pennsylvania, Inc.",NASDAQ,$126.83M,$2861.72,Finance
XNCR,"Xencor, Inc.",NASDAQ,$934.3M,$4459.18,Health Care
SFM,"Sprouts Farmers Market, Inc.",NASDAQ,$2.89B,$6986.28,Consumer Services
STOR,STORE Capital Corporation,NYSE,$3.62B,$4440.66,Consumer Services
LBRDK,Liberty Broadband Corporation,NASDAQ,$16B,$1573.58,Consumer Services
SRUN,Silver Run Acquisition Corporation II,NASDAQ,$1.29B,$6985.82,Finance
MPLX,MPLX LP,NYSE,$12.54B,$2321.50,Energy
QTNA,"Quantenna Communications, Inc.",NASDAQ,$650.38M,$7612.84,Technology
TEAR,TearLab Corporation,NASDAQ,$9.01M,$1831.97,Health Care
TISA,"Top Image Systems, Ltd.",NASDAQ,$22.92M,$6152.48,Technology
IPI,"Intrepid Potash, Inc",NYSE,$281.36M,$4362.94,Basic Industries
MSTR,MicroStrategy Incorporated,NASDAQ,$2.09B,$7938.39,Technology
SGRP,"SPAR Group, Inc.",NASDAQ,$21.07M,$6462.84,Miscellaneous
AXAR,Axar Acquisition Corp.,NASDAQ,$83.79M,$4272.12,Finance
OPB,Opus Bank,NASDAQ,$795.23M,$1382.10,n/a
JHY,Nuveen High Income 2020 Target Term Fund,NYSE,$145.49M,$9300.12,n/a
HBHCL,Hancock Holding Company,NASDAQ,n/a,$5377.89,Finance
EMITF,Elbit Imaging Ltd.,NASDAQ,$27.57M,$3522.20,Consumer Services
TRIP,"TripAdvisor, Inc.",NASDAQ,$5.35B,$3138.56,Technology
ELTK,Eltek Ltd.,NASDAQ,$6.8M,$6471.55,Technology
AED,Aegon NV,NYSE,n/a,$7751.09,Finance
VONE,Vanguard Russell 1000 ETF,NASDAQ,$693.72M,$9644.46,n/a
TFX,Teleflex Incorporated,NYSE,$9.03B,$4706.91,Health Care
CMI,Cummins Inc.,NYSE,$27.14B,$1933.71,Energy
AVGO,Broadcom Limited,NASDAQ,$96.06B,$8436.94,Technology
FEP,First Trust Europe AlphaDEX Fund,NASDAQ,$433.94M,$9730.77,n/a
NDRAU,ENDRA Life Sciences Inc.,NASDAQ,n/a,$5688.95,Health Care
EDAP,EDAP TMS S.A.,NASDAQ,$105.14M,$5480.03,Health Care
LBRDK,Liberty Broadband Corporation,NASDAQ,$16B,$1495.25,Consumer Services
SIR,Select Income REIT,NASDAQ,$2.21B,$4872.82,Consumer Services
ESGR,Enstar Group Limited,NASDAQ,$3.84B,$7125.94,Finance
LMBS,First Trust Low Duration Opportunities ETF,NASDAQ,$582.59M,$6972.52,n/a
FLAT,iPath US Treasury Flattener ETN,NASDAQ,$3.49M,$8639.09,Finance
PPH,VanEck Vectors Pharmaceutical ETF,NASDAQ,$285.13M,$2021.61,n/a
SMI,Semiconductor  Manufacturing International Corporation,NYSE,$5.28B,$5913.69,Technology
AGNCB,AGNC Investment Corp.,NASDAQ,$9.12B,$8358.95,Consumer Services
JNCE,"Jounce Therapeutics, Inc.",NASDAQ,$498.65M,$4547.03,Health Care
YLDE,ClearBridge Dividend Strategy ESG ETF,NASDAQ,n/a,$6816.11,n/a
PBBI,"PB Bancorp, Inc.",NASDAQ,$81.84M,$4295.89,Finance
CPK,Chesapeake Utilities Corporation,NYSE,$1.23B,$9749.03,Public Utilities
SPI,"SPI Energy Co., Ltd.",NASDAQ,$50.64M,$4615.62,Technology
DYN^A,Dynegy Inc.,NYSE,n/a,$8008.07,n/a
EUFN,iShares MSCI Europe Financials Sector Index Fund,NASDAQ,$1.15B,$1604.37,n/a
ORBC,ORBCOMM Inc.,NASDAQ,$789.19M,$3393.63,Consumer Services
SBLK,Star Bulk Carriers Corp.,NASDAQ,$516.53M,$2607.63,Transportation
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,NYSE,$601.02M,$7395.47,n/a
CSA,VictoryShares US Small Cap Volatility Wtd ETF,NASDAQ,$2.17B,$7697.18,n/a
FTFT,Future FinTech Group Inc.,NASDAQ,$13.09M,$3232.78,Consumer Non-Durables
WAFDW,"Washington Federal, Inc.",NASDAQ,n/a,$9874.07,Finance
DLR^I,"Digital Realty Trust, Inc.",NYSE,n/a,$3038.58,n/a
ACRE,Ares Commercial Real Estate Corporation,NYSE,$394.2M,$9859.24,Consumer Services
DSKE,"Daseke, Inc.",NASDAQ,$378.29M,$4199.60,Consumer Services
BYM,Blackrock Municipal Income Quality Trust,NYSE,$379.99M,$6201.39,n/a
KAP,"KCAP Financial, Inc.",NYSE,n/a,$6349.56,n/a
IIF,"Morgan Stanley India Investment Fund, Inc.",NYSE,$491.37M,$7449.92,n/a
FLS,Flowserve Corporation,NYSE,$6.2B,$7186.41,Capital Goods
ASYS,"Amtech Systems, Inc.",NASDAQ,$106.79M,$9779.53,Technology
MSP,Madison Strategic Sector Premium Fund,NYSE,$69.05M,$4060.03,n/a
CVCY,Central Valley Community Bancorp,NASDAQ,$277.95M,$5483.50,Finance
LOW,"Lowe's Companies, Inc.",NYSE,$67.37B,$2748.29,Consumer Services
INTU,Intuit Inc.,NASDAQ,$35.74B,$1146.89,Technology
TISA,"Top Image Systems, Ltd.",NASDAQ,$22.92M,$6134.58,Technology
USEG,U.S. Energy Corp.,NASDAQ,$4.6M,$5926.98,Energy
WUBA,58.com Inc.,NYSE,$5.96B,$4951.88,Technology
NMT,Nuveen Massachusetts Municipal Income Fund,NYSE,$128.91M,$3736.49,n/a
ADRO,"Aduro Biotech, Inc.",NASDAQ,$737.59M,$2636.92,Health Care
KBSF,KBS Fashion Group Limited,NASDAQ,$4.62M,$6856.49,Consumer Non-Durables
